ppname,ANS.p_correct,CANCELLATION_MARKED.bestR,CANCELLATION_MARKED.interdist,CANCELLATION_MARKED.intersect_rate,CANCELLATION_MARKED.intertime,CANCELLATION_UNMARKED.intertime,CATTELL_1.n_correct,CATTELL_2.n_correct,DEPRIVATION.IDACI_Rank,DEPRIVATION.Index_of_Multiple_Deprivation_Rank,DIGIT_SPAN.n_correct,DOT_MATRIX.n_correct,GONOGO.dprime,QUESTIONNAIRE_1.Q10_RT,QUESTIONNAIRE_1.Q10_resp,QUESTIONNAIRE_1.Q11_RT,QUESTIONNAIRE_1.Q11_resp,QUESTIONNAIRE_1.Q12_RT,QUESTIONNAIRE_1.Q12_resp,QUESTIONNAIRE_1.Q13_RT,QUESTIONNAIRE_1.Q13_resp,QUESTIONNAIRE_1.Q14_RT,QUESTIONNAIRE_1.Q14_resp,QUESTIONNAIRE_1.Q15_RT,QUESTIONNAIRE_1.Q15_resp,QUESTIONNAIRE_1.Q16_RT,QUESTIONNAIRE_1.Q16_resp,QUESTIONNAIRE_1.Q17_RT,QUESTIONNAIRE_1.Q17_resp,QUESTIONNAIRE_1.Q18_RT,QUESTIONNAIRE_1.Q18_resp,QUESTIONNAIRE_1.Q19_RT,QUESTIONNAIRE_1.Q19_resp,QUESTIONNAIRE_1.Q1_RT,QUESTIONNAIRE_1.Q1_resp,QUESTIONNAIRE_1.Q2_RT,QUESTIONNAIRE_1.Q2_resp,QUESTIONNAIRE_1.Q3_RT,QUESTIONNAIRE_1.Q3_resp,QUESTIONNAIRE_1.Q4_RT,QUESTIONNAIRE_1.Q4_resp,QUESTIONNAIRE_1.Q5_RT,QUESTIONNAIRE_1.Q5_resp,QUESTIONNAIRE_1.Q6_RT,QUESTIONNAIRE_1.Q6_resp,QUESTIONNAIRE_1.Q7_RT,QUESTIONNAIRE_1.Q7_resp,QUESTIONNAIRE_1.Q8_RT,QUESTIONNAIRE_1.Q8_resp,QUESTIONNAIRE_1.Q9_RT,QUESTIONNAIRE_1.Q9_resp,QUESTIONNAIRE_2.Q10_RT,QUESTIONNAIRE_2.Q10_resp,QUESTIONNAIRE_2.Q11_RT,QUESTIONNAIRE_2.Q11_resp,QUESTIONNAIRE_2.Q12_RT,QUESTIONNAIRE_2.Q12_resp,QUESTIONNAIRE_2.Q13_RT,QUESTIONNAIRE_2.Q13_resp,QUESTIONNAIRE_2.Q14_RT,QUESTIONNAIRE_2.Q14_resp,QUESTIONNAIRE_2.Q15_RT,QUESTIONNAIRE_2.Q15_resp,QUESTIONNAIRE_2.Q16_RT,QUESTIONNAIRE_2.Q16_resp,QUESTIONNAIRE_2.Q1_RT,QUESTIONNAIRE_2.Q1_resp,QUESTIONNAIRE_2.Q2_RT,QUESTIONNAIRE_2.Q2_resp,QUESTIONNAIRE_2.Q3_RT,QUESTIONNAIRE_2.Q3_resp,QUESTIONNAIRE_2.Q4_RT,QUESTIONNAIRE_2.Q4_resp,QUESTIONNAIRE_2.Q5_RT,QUESTIONNAIRE_2.Q5_resp,QUESTIONNAIRE_2.Q6_RT,QUESTIONNAIRE_2.Q6_resp,QUESTIONNAIRE_2.Q7_RT,QUESTIONNAIRE_2.Q7_resp,QUESTIONNAIRE_2.Q8_RT,QUESTIONNAIRE_2.Q8_resp,QUESTIONNAIRE_2.Q9_RT,QUESTIONNAIRE_2.Q9_resp,QUESTIONNAIRE_3.Q10_RT,QUESTIONNAIRE_3.Q10_resp,QUESTIONNAIRE_3.Q11_RT,QUESTIONNAIRE_3.Q11_resp,QUESTIONNAIRE_3.Q12_RT,QUESTIONNAIRE_3.Q12_resp,QUESTIONNAIRE_3.Q1_RT,QUESTIONNAIRE_3.Q1_resp,QUESTIONNAIRE_3.Q2_RT,QUESTIONNAIRE_3.Q2_resp,QUESTIONNAIRE_3.Q3_RT,QUESTIONNAIRE_3.Q3_resp,QUESTIONNAIRE_3.Q4_RT,QUESTIONNAIRE_3.Q4_resp,QUESTIONNAIRE_3.Q5_RT,QUESTIONNAIRE_3.Q5_resp,QUESTIONNAIRE_3.Q6_RT,QUESTIONNAIRE_3.Q6_resp,QUESTIONNAIRE_3.Q7_RT,QUESTIONNAIRE_3.Q7_resp,QUESTIONNAIRE_3.Q8_RT,QUESTIONNAIRE_3.Q8_resp,QUESTIONNAIRE_3.Q9_RT,QUESTIONNAIRE_3.Q9_resp,READING.n_correct,SUMS.n_correct
248,0.775862069,0.7518313772,244.7872988536,0,0.7,0.699,8,9,11319,10350,10,13,3.5108691783,10.7339,3,12.1005,1,6.3003,1,6.8671,0.741206,5.5333,0.9585427,5.6001,0,5.567,0.01947236,10.5338,0.7512563,7.1336,0.7575377,4.4337,0.2502094,11.501,0.4964405,14.4009,0.5213568,9.6003,0.9962311,8.1338,0,19.5983,4,9.4001,0,8.5339,0,5.6005,2,10.0673,0,5.867,1,5.334,0.3314489,4.034,0.642588,5.967,0.3316583,7.534,0,5.8,0.9880653,32.602,0.6645728,7.234,0.8003909,7.2,0.6645728,10.301,1,5.9,0.9993719,9.501,0.02638191,5.8,0.3379397,6.334,0.665201,8.767,0.03768844,9.034,0.3379397,12.467,0.2380653,20.235,0.9974874,9.101,2,5.967,0.9987437,7.067,0.03894472,19.334,0.9849246,10.234,0.4962312,10.934,2,22.101,0.6626884,15.301,1,15.867,0.1304439,26.369,0.1589196,31,23
249,0.6551724138,0.6101984566,342.7959070683,0.275,0.5165,0.4005,6,8,18774,18535,10,13,4.9545102317,11.2007,3,9.4338,1,25.0014,4,12.6008,0.2361809,16.6009,0.2550251,9.7004,0.5,4.7335,0.2487437,3.7667,0.7418342,6.7337,0.9987437,8.8673,0.4761307,21.6015,0.5085846,29.4347,0,14.8673,0.6273032,9.2674,1,21.2679,2,11.1016,0,7.9002,0,6.001,2,15.5012,1,9.2,0.01005025,7.533,0.01067839,10.534,0,6.001,0,3.934,0,5.333,1,6.834,0.3079983,11.867,0.4633585,6.067,0.6633166,11.767,0.3555276,9.734,1,6.967,0.4051507,4.2,0.6806951,5.2,0.7751256,5.667,0.01256281,11.934,0.3500837,23.102,0.1670854,29.935,0,11.301,2,6.801,0.2112647,8.833,0.3354271,12.868,0.165201,10.501,0.01633166,16.567,0.4815746,16.234,0.05653266,15.868,0.5010469,16.37,0.01340033,14.801,0.02952261,63,53
250,0.5603448276,0.8387621315,286.238569147,0.025,0.666,0.767,6,5,5046,3528,7,4,2.5100867643,9.8005,1,14.4008,2,6.8669,1,11.1338,0,10.3005,0.007537689,6.4671,0.2650754,8.1005,0.495603,6.1336,0.9849246,5.0329,0.758794,8.1676,0.01005025,19.2679,0.897613,9.1003,0.03266332,11.4005,0.7449749,10.7339,0.4935092,14.4675,3,19.3341,0,10.3339,0,6.1003,0,28.5349,2,10.268,0.1647823,6.936,0.005025126,13.101,0.04899497,8.634,0.2550251,17.167,0.3454774,20.234,0.8109297,23.268,0,22.234,0.9610553,7.533,0.3065327,10.134,1,29.501,0.9798995,6.933,0,4.534,0.3190955,5.033,0.3253769,6.8,0.5,9.6,0.1664573,25.085,0.1115997,22.068,0,10.3,2,7.334,0.004396985,12.901,1,44.536,0,14.368,0.08061139,9.334,0.6231156,19.001,0.1752513,22.867,0.09987437,15.334,0.001256281,17.234,0.1670854,38,25
251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27384,30525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
252,0.5775862069,0.8273878408,297.3969560738,0.175,0.667,0.499,5,4,31742,32361,14,9,4.3968386118,10.434,1,34.8355,3,8.701,4,10.4007,0.2525126,7.2337,1,6.1673,0.5119347,6.1003,1,25.1019,0.258794,8.801,0.7744975,6.1674,0,24.335,0,18.6675,0.7468593,12.8674,1,20.368,0.2430905,20.5679,0,7.5336,0,9.9339,0,10.9668,2,13.2341,1,4.701,0.9943467,4.2,0.3310302,4.434,0.6708543,5.6,1,3.6,1,8.9,0,6.699,0.002512563,8.467,0.3410804,9.767,0.9893216,12.468,1,9.234,0.9899498,6.8,0,4.701,0,5.1,0.6375628,3.933,0.8140703,7,0,13.568,1,16.801,0.5025126,7.7008,0,6.434,0.3383585,6.401,1,14.301,0.05590452,11.568,0.005025126,7.1,1.959799,14.935,0.6689699,16.134,0.909129,14.967,0.3337521,15.001,0.4185045,33,19
253,0.6379310345,0.687355539,281.9651539494,0.0487804878,0.634,0.767,NaN,NaN,15843,23017,0,2,NaN,23.369,4,14.7671,2,9.9339,1,10.5339,0,5.5666,1,10.2005,0.4874372,5.534,0.01319095,10.634,0.7757538,8.1005,0.5,4.8336,0,16.5346,0.7518844,10.9006,0.4729899,10.434,0.4962312,8.4337,0.2520938,14.4675,1,14.6,2,9.3006,2,8.1339,0,9.8661,1,4.7,0,7.867,0.3835846,5.5,1,8.167,0.01821608,5.867,0,8.367,0.9974874,13.634,0.2418342,14.767,0.6432161,10.434,0.6019682,8.134,0.9635679,10,0.3289364,7.367,0.06030151,9.234,0.006909548,9.667,0.2162898,6.4,0.3329146,4.766,0.01046901,21.4,0.08228643,18.468,0.06281407,9.067,2,6.167,0.5,16.301,0.3253769,38.568,1,15.935,0,16.667,0.508794,19.934,0.04124791,15.301,0.03266332,15.768,0,19.201,0.03140704,40,34
254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24530,19849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
255,0.4396551724,0.4699577311,288.6806095633,0.0512820513,0.6675,0.6995,8,7,1118,1170,0,12,3.6200701971,14.7673,3,10.134,2,15.5008,3,24.1341,0.4993719,6.3668,0.9974874,13.2006,0.7167085,6.4671,0.504397,4.9669,0.2531407,5.8004,0.5,6.1336,0.5,14.7009,1,21.8009,0.4930905,16.8009,0.4434673,38.3681,0.495603,20.1343,4,8.7672,0,6.968,2,6.567,2,11.6,4,5.467,0.9880653,10.067,0.3467337,6.1,0,20.401,0.03517588,5.3,0.6551508,12.467,0.3109297,7.4,0.6687604,5.767,0.6438442,15.934,0.682789,6.566,0.02931323,6.733,0,9.467,0.005653266,4.234,0.6585009,6.634,0.9669179,6.067,0.9974874,5.033,0.923995,11.201,0,19.035,0.178392,6.534,2,23.169,0,7.901,1,11.035,0.9572864,16.334,0,14.166,2,12.167,0.3387772,17.901,0.001884422,14.867,0,16.668,0.001884422,40,34
256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2058,899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
257,0.4827586207,0.9065083601,289.507847568,0.0789473684,0.435,0.301,1,6,27384,30525,11,0,NaN,29.0685,1,9.7672,2,11.9672,4,7.1002,0,15.1342,0.5,6.8339,0.7449749,4.7336,0.2386935,NaN,NaN,NaN,NaN,NaN,NaN,39.5358,0.003768844,18.7343,0.625,21.3338,0.502373,8.7673,0.1622697,55.0362,2,21.2348,0,7.4337,0,6.5998,0,27.3341,1,5.834,0.6677136,5.5675,0.7349246,3.834,0.7167085,4.967,0.3335427,6.7,0.6551508,7,0.6767169,8.734,0.6683417,10.268,0.3373116,6.901,0.3341708,8.901,0.3059045,8.134,0.9798995,12.567,0.1425879,6.833,0,4.134,0,7.567,0.07474875,4.533,0.005653266,18.101,0.1136935,18.534,0,6.567,0,7.368,0.326005,7.701,0.334799,23.735,0.02668435,11.434,1,38.002,0.1997487,51.437,0,33.769,0.08731156,21.9013,0.8209799,27.034,0.5004188,46,54
258,0.4913793103,0.7118826407,275.3227296311,0.125,0.533,0.566,5,7,25360,24776,14,5,NaN,17.134,4,14.901,4,9.6008,1,10.5339,0.02072864,7.0005,0,10.3674,0.9949749,5.3335,0.4993719,NaN,NaN,NaN,NaN,NaN,NaN,12.8344,0.5,21.401,0.507305,10.3338,1,8.3669,0.4962312,27.1016,2,22.8013,0,8.367,0,7.2002,0,12.6005,4,5.967,0.9968593,6.534,0.673995,19.834,0.669598,12.034,0.6564071,8.134,0.9949749,10.501,0.6733668,7.267,0.0910804,15.401,0.1614322,10.134,0.3301927,7.901,0.9932998,28.368,0.7971106,7.367,1,3.9,0.9987437,5.067,1,6.334,0.2680067,4.467,0.9761307,12.167,0.5,8.968,0.1375628,29.235,2,8.268,0.339196,5.9,1,10.334,0.8341709,12.867,1,13.067,2,11.767,0.2790341,6.4,0.3316583,16.667,0,9.234,0.1649916,35,0
259,0.7413793103,0.6254025233,342.4927703996,0.2564102564,0.9655,0.932,7,3,31742,32361,14,6,2.9713264201,11.3673,1,9.4002,2,7.2666,3,7.0672,0,13.5673,0,10.6338,0.2493719,6.2337,1,5.3668,0.241206,5.2665,1,6.2003,0.7650754,12.7007,0.7497906,15.6007,0.5020938,9.3006,0.7531407,15.2673,1,23.7013,1,12.9682,0,6.9004,0,6.267,2,23.9678,4,10.9,0.4491206,5.2,1,6.567,1,5.867,0.97299,3.767,0.9792714,21.635,0.02198493,6.901,0.3335427,9.636,0.9974874,9.868,0.6603853,13.867,0.3316583,9.667,0.02826633,7.767,0.0169598,8.834,0.3329146,13.001,0.2162898,10.001,0.977387,10.301,0.4993719,12.468,0.1681323,20.034,0.4302764,9.534,0,6.734,0.25,8.133,1,44.402,0.008165829,14.868,0,6.367,1,21.167,0.1859296,15.301,0.4139447,15.668,0.001884422,15.901,0.05276382,39,30
260,0.6293103448,0.5738555738,352.2655143546,0.25,0.434,0.697,7,5,29148,30427,11,2,NaN,10.0676,1,10.8648,2,6.6003,1,6.0005,0.5041876,6.5667,0.2336683,10.001,0.4937186,5.9683,0.2613065,NaN,NaN,NaN,NaN,NaN,NaN,9.7676,1,10.9006,0.2491625,8.3338,0.9868091,7.5671,0.2506281,11.7339,2,9.2673,0,7.6004,0,5.9674,0,9.8337,1,5.233,1,5.367,0.8680905,3.567,0.669598,5.501,0.3291457,3.5,0.01067839,7.2,0.6662479,6.568,0.669598,5.2339,0.6765075,11.134,0.9742462,5.468,1,7.233,0.6670854,5.4671,0,9.601,0.3310302,4.167,1,12.301,0.006909548,9.467,1,11.534,0,11.534,0.06595477,7.034,0,18.468,0.6693886,10.967,0.616206,16.638,1,10.467,0.125,7.3,0.9064071,48.869,0.110134,25.101,0,3.267,0.00942211,9.967,0,58,34
261,0.7672413793,0.7827633085,271.8145938968,0.025,0.367,0.533,7,7,18774,18535,8,10,2.8471012075,9.1337,1,9.8002,4,6.7003,1,6.5665,0.9974874,3.567,0.9905779,6.767,0,7.3667,0,7.0336,0.7757538,3.9008,1,4.6671,1,12.1676,0.001884422,8.3338,0.2374372,12.734,0.4962312,6.5339,0.7481156,12.6673,4,8.2003,0,7.3672,2,5.1005,2,8.0004,3,7.801,0.08605528,9.301,0.3362646,10.7,0.334799,8.967,0.01758794,3.8,0.3253769,4.333,0.991206,8.267,0.4070352,11.47,0.9792714,8.134,1,10.367,1,6.9,0.9767588,7.333,0.3134422,9.267,0.9654523,3.767,0.3293551,6.967,0,7.567,0.9905779,20.267,0.1115997,41.901,0,14.201,2,5.767,1,6.333,0.0138191,29.801,0.5846594,10.834,0.5,13.534,0.2298995,33.269,0.3329611,23.667,1,14.433,0.02638191,18.068,0.08291458,72,40
262,0.7155172414,0.2953650035,338.7844306172,0.1818181818,0.8995,0.533,7,5,28347,30977,11,16,NaN,11.8336,1,9.6671,2,8.1009,1,7.8005,0.5,9.4007,1,7.401,0.5,9.2673,0.5,NaN,NaN,NaN,NaN,NaN,NaN,15.0676,1,18.7677,0.507305,20.634,1,9.2338,0.7470687,34.402,4,12.1674,0,7.7672,0,6.0002,0,11.634,1,3.7,0.9761307,3.8,0.6595477,3.334,0.3213986,6.933,0.3567839,3.967,0.3310302,7.033,0.6587102,7.133,0.3071608,7.534,0.3247488,5.433,0.9974874,6.501,0.9993719,18.968,0.6545226,13.901,0.02889447,5.4,0.285804,7.633,0.3373116,5.767,0.03140704,5.333,0.3257957,14.934,0.97299,23.568,0.3473618,6.867,0,6.534,1,6.9,1,16.834,0.982412,21.401,0.1940955,8.267,2,16.234,0.3096734,13.933,0.9868091,23.868,0.003768844,13.168,0.006909548,52,30
263,0.6724137931,0.7989869528,288.1721271544,0.0952380952,0.499,0.433,10,10,25359,24061,14,7,4.6261965184,15.7674,3,19.1677,2,7.3337,2,8.4004,0.5,6.0336,0.01947236,5.9337,0.751675,5.9004,0.1075516,5.2336,0.6765075,22.2675,1,3.9328,0.741206,26.7352,0.2489531,28.0013,1,12.8674,0.002512563,8.3004,0.4861809,18.7677,4,10.9005,0,10.9008,2,21.7346,0,22.5678,1,6.533,0,6.033,0,20.135,0.3115578,9.033,0,3.934,0.1940955,6.7,1,6.6,0,14.367,0.6664573,12.866,0.3467337,5.733,0,6.801,0.660804,17.001,0.01507538,6.033,0.05464824,10.767,0.8473618,4.767,0.003140704,7.267,0.3500837,14.268,0.3341708,24.303,0,8.134,2,6.203,0.9346734,6.4,0.334799,23.735,0.1677136,14.2339,0,12.235,0,26.102,0.6878141,16.701,0.3272613,20.968,0.006909548,28.535,0.07914573,62,50
264,0.7931034483,0.8697726949,294.7406578467,0.075,0.467,0.766,7,8,9641,6708,15,4,4.0406549365,10.6344,2,8.8669,2,10.133,4,8.8333,1,7.368,0.991206,7.5339,1,8.9336,0.991206,12.3342,0,6.6003,0.5029314,8.134,0,13.3673,1,24.068,0.5,9.134,0.9522613,9.1009,0.7594221,20.0676,0,9.9004,0,7.4673,0,8.9005,2,13.5676,3,5.401,0,8.5,0.01067839,6,0.0201005,4.767,0.3306114,5.501,0.003768844,8.134,0.9905779,7.801,0.7135679,13.501,0.6704355,6.4,0.991206,15.601,0.6549413,14.134,1,5.8,0,5.5,0.3329146,6.2,0,4.834,0.9962311,7.001,0.1344221,17.034,0.6388191,17.868,0.0169598,11.001,0,12.067,0.6576633,5.867,0.6375628,12.367,0.004396985,12.3004,0.08403128,14.434,0.5,17.335,0.5613484,17.168,0.4604271,18.667,0,16.167,0.165201,54,37
265,0.6637931034,0.5843431563,316.61560157,0.2,0.934,0.833,9,6,15843,23017,11,6,3.1349507766,12.7674,2,8.1332,2,8.8005,1,13.0669,0,38.1352,0.2669598,8.067,0.995603,11.7339,0.001884422,5.7339,0.002512563,7.1004,0.5,10.8671,0,37.6356,0.4993719,36.7362,0.8819095,17.2003,0.002512563,18.768,0.5106784,16.2669,4,8.9336,0,8.9338,0,5.5003,0,31.0686,4,13.467,0.2642379,14.401,0.7927136,10.134,0.6614321,7.7,0.2713568,9.934,0.680067,23.801,0.6633166,17.235,0.828727,11.9,0.6645728,9.167,1,7.934,0.6576633,8.034,1,25.868,0.001256281,25.468,0.3404523,6.134,1,7.934,0.3310302,42.302,0.9874372,20.534,1,32.835,0,7.434,2,7.7673,0.3398241,12.701,0.3109297,115.539,0.002163604,23.901,0.003140704,9.134,0,16.2,0.7925042,28.369,0.8335427,17.535,0.8234925,17.168,0.02889447,19,18
266,0.6896551724,0.7252241744,281.9038753945,0.075,0.398,0.3665,7,9,9547,17033,8,11,4.3921238175,8.5673,1,9.8671,1,7.8336,2,15.1673,0.2977387,16.6009,0,9.2334,0.7476968,6.267,0,7.1331,0.01130653,9.0003,0.5033501,10.8671,0.4861809,10.9675,0.7619347,15.5331,0.2449749,9.5007,0.8103015,7.2671,0.754397,24.8678,0,10.1337,0,14.1007,2,27.3682,2,10.2336,1,6.835,0.6463568,7.434,0.7437186,6.366,1,7.934,0.3285176,3,0.6758794,6.8,0.9805276,9.634,0.3404523,4.234,0.3090452,11.767,0.6706449,13.167,0.02931323,10.267,0.3479899,7.268,0.3335427,8.134,0.3285176,4.334,0.6042714,4.667,0.3398241,9.834,0.004396985,13.768,0.1023869,19.701,0.1419598,18.668,0,4.401,0.9880653,8.367,0.3316583,18.234,0.1677136,12.268,0,15.697,0.6394472,25.734,0,39.003,0.9855528,15.468,0.02072864,20.734,0.3190955,NaN,38
267,0.6293103448,0.4415223196,272.4650384695,0.0666666667,0.534,0.434,3,5,19349,18535,8,0,2.637484534,10.4669,1,10.434,4,8.8672,1,8.8671,0.5,8.2337,0.7525126,5.3002,0.9390703,5.1669,1,7.1004,0,6.9339,0.995603,3.8003,0.7481156,10.0662,0.7506281,9.4672,0.2355528,8.8338,1,14.4666,0.9886935,12.4672,3,8.6669,0,7.1344,0,5.967,0,12.0665,1,5.4,1,11.867,0.3241206,6.734,0.6664573,12.8686,0.2763819,3.867,0,6.501,0.9855528,5.767,0.9893216,11.4675,0.682789,9.834,0.6626884,11.767,0.4937186,6.566,0.522613,7.033,0.3680905,6.934,0.339196,4.968,0.6777638,4.967,0.4949749,5.867,0.005025126,13.7,0.4995812,17.034,0.08165829,6.101,2,6.533,1,8.1004,0,10.334,0.160804,10.201,0.1683417,6.7,1.555276,10.267,0.2506281,22.867,0.08403128,16.267,0.1878141,16.735,0.1664573,46,44
268,0.5689655172,0.630223958,316.9236065697,0.2,0.701,0.55,5,7,5046,3528,8,4,3.1485820567,9.2006,1,12.934,2,7.3337,2,9.567,0.2462312,7.2337,0.9855528,10.3001,0.7460217,5.534,0,5.667,0.01633166,4.5999,0.5,4.1669,0.2606784,10.434,0.7504187,21.401,0.5002094,11.3337,0.8994975,7.2671,0.4849246,19.3675,3,8.3672,0,7.6004,0,5.8006,2,15.8681,1,4.1,0.977387,7.433,0.1532663,6.7,0.01319095,6.133,0.3297739,5.867,0.01444724,5.334,0.6733668,7.167,0.1922111,15.867,0.6794388,7.833,1,6.4,0.6641541,9.767,0.3159548,9.233,1,4.6,0.5,3.368,0.6683417,4.066,0.3481993,6.1,0.1953518,10.834,0.8297738,17.101,0.9993719,7,0,6.1,0.339196,7.4,0.660804,11.501,1,15.868,0.04145729,10.9,1.966499,11.467,1,17.234,0.9761307,15.834,0,16.302,0.4185045,34,20
269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10101,13506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
270,0.5948275862,0.7457156502,340.6718958618,0.3095238095,0.7,0.503,8,8,15843,23017,2,4,2.1900019313,12.0008,4,9.5672,2,9.9004,1,10.9006,0.006281407,8.4672,1,8.4671,0.001884422,5.8672,0,7.6005,0.2518844,4.7329,0.5023032,5.3336,0.508794,15.2007,1,18.6007,1,10.4668,0.7564908,9.4674,0.5,18.1007,4,12.634,0,9.3006,0,7.1336,0,9.9676,2,6.968,0.3379397,6.667,0.3423367,17.034,0,8.2,0.321608,5.067,0.001256281,7.2,0.6643634,12.034,1,8.534,0.3925879,8,0.343593,13.167,0.669598,5.5,0.9698492,5.967,0.3492462,6.067,0.3354271,4.901,0.4007538,10.601,1,6.034,0.02596315,11.634,0,23.135,0.2223618,6.101,2,9.734,0.7317839,16.301,0.3010888,17.302,0.05841709,20.201,0,12.201,0.3756281,10.467,0.1639447,15.635,0.08961474,25.067,0.02449749,33.068,0.05590452,64,49
271,0.4913793103,0.5328702371,364.0992876612,0.4655172414,0.8,0.667,1,1,18758,22818,0,0,3.5498844554,12.1343,2,10.934,2,9.4005,1,9.9991,0.4981156,7.5674,0.5,5.5331,1,4.8669,0.75,4.3002,0.5,8.8338,1,3.3669,0.2527219,21.3678,0.5,9.4672,0.0006281407,20.068,0,10.634,0.7349246,28.4348,4,9.4672,0,16.9345,0,8.4006,0,18.8015,0,7.233,0.379397,15.001,0.0138191,6.967,0.3429648,5.967,0,7.8,0.97299,10.467,0.9704774,8.867,0.9767588,15.101,1,6.6,0.9842965,7.134,1,10.901,0.3322864,7.332,0.3316583,7.234,0.3285176,8.367,0.4463987,6.067,0.6840453,8.301,0.9874372,16.7,0.334799,32.268,0.6413317,6.834,0,7.234,0.5464824,5.3338,0.673995,30.601,0.0571608,9.9,0.3132328,9.667,1.49679,14.034,1,17.201,1,14.567,0.6005025,17.535,0.5288945,64,23
272,0.6206896552,0.5809481796,272.5002889477,0.05,0.633,0.467,9,8,15843,23017,8,12,2.2122007957,12.9015,3,8.9671,1,8.1005,1,8.9004,0.508794,8.0341,1,6.2334,0.2525126,6.067,0.2506281,3.3668,0.9899498,4.9334,0.5004188,4.6671,0.003140704,15.0676,0.7638191,11.734,0.2018425,8.2672,0.9943467,10.4004,0.5,13.734,2,14.8673,0,8.2677,2,5.8002,2,13.834,2,8.167,0.9704774,5.833,0.343593,5.6,0.3008794,4.534,0.3278894,7.2,0.001884422,5.433,1,11.133,1,5.401,0.9321608,9.834,0.6779732,13.867,0.4704774,7.434,0.955402,4.834,0,5.434,0.3153266,4.967,0.005653266,4.2,0.01067839,4.401,0.3209799,15.201,0.1721106,32.002,0.2428811,6.634,2,6.301,0.6658291,7.234,0.3293551,46.002,0.9448528,10.833,0,11.034,1.962312,16.901,0.2659129,13.9,0.5,17.768,0.171273,25.702,0.5,49,33
